id,publication_date,abstract,title
10.1371/journal.pone.0161331,2016-08-12T00:00:00Z,"African honey bees (Apis mellifera scutellata) dramatically changed the South American beekeeping industry as they rapidly spread through the Americas following their introduction into Brazil. In the present study, we aimed to determine if the management of European-derived honey bees (A. mellifera sspp.) could reduce the relative abundance of African-matriline drones at regional mating sites known as drone congregation areas (DCAs). We collected 2,400 drones at six DCAs either 0.25 km or >2.8 km from managed European-derived honey bee apiaries. The maternal ancestry of each drone was determined by Bgl II enzyme digestion of an amplified portion of the mitochondrial Cytochrome b gene. Furthermore, sibship reconstruction via nuclear microsatellites was conducted for a subset of 1,200 drones to estimate the number of colonies contributing drones to each DCA. Results indicate that DCAs distant to managed European apiaries (>2.8 km) had significantly more African−matriline drones (34.33% of the collected drones had African mitochondrial DNA) than did DCAs close (0.25 km) to managed European apiaries (1.83% of the collected drones had African mitochondrial DNA). Furthermore, nuclear sibship reconstruction demonstrated that the reduction in the proportion of African matriline drones at DCAs near apiaries was not simply an increase in the number of European matriline drones at the DCAs but also the result of fewer African matriline colonies contributing drones to the DCAs. Our data demonstrate that the management of European honey bee colonies can dramatically influence the proportion of drones with African matrilines at nearby drone congregation areas, and would likely decreasing the probability that virgin European queens will mate with African drones at those drone congregation areas.","Managed European-Derived Honey Bee, Apis mellifera sspp, Colonies Reduce African-Matriline Honey Bee, A. m. scutellata, Drones at Regional Mating Congregations"
10.1371/journal.pone.0148740,2016-02-16T00:00:00Z,"Background: Honey bee (Apis mellifera) drones and workers show differences in morphology, physiology, and behavior. Because the functions of drones are more related to colony reproduction, and those of workers relate to both survival and reproduction, we hypothesize that the microclimate for worker brood is more precisely regulated than that of drone brood. Methodology/Principal Findings: We assessed temperature and relative humidity (RH) inside honey bee colonies for both drone and worker brood throughout the three-stage development period, using digital HOBO® Data Loggers. The major findings of this study are that 1) both drone and worker castes show the highest temperature for eggs, followed by larvae and then pupae; 2) temperature in drones are maintained at higher precision (smaller variance) in drone eggs and larvae, but at a lower precision in pupae than the corresponding stages of workers; 3) RH regulation showed higher variance in drone than workers across all brood stages; and 4) RH regulation seems largely due to regulation by workers, as the contribution from empty honey combs are much smaller compared to that from adult workers. Conclusions/Significance: We conclude that honey bee colonies maintain both temperature and humidity actively; that the microclimate for sealed drone brood is less precisely regulated than worker brood; and that combs with honey contribute very little to the increase of RH in honey bee colonies. These findings increase our understanding of microclimate regulation in honey bees and may have implications for beekeeping practices.","Drone and Worker Brood Microclimates Are Regulated Differentially in Honey Bees, Apis mellifera"
10.1371/journal.pone.0057702,2013-02-27T00:00:00Z,"Ranging from dwarfs to giants, the species of honeybees show remarkable differences in body size that have placed evolutionary constrains on the size of sensory organs and the brain. Colonies comprise three adult phenotypes, drones and two female castes, the reproductive queen and sterile workers. The phenotypes differ with respect to tasks and thus selection pressures which additionally constrain the shape of sensory systems. In a first step to explore the variability and interaction between species size-limitations and sex and caste-specific selection pressures in sensory and neural structures in honeybees, we compared eye size, ommatidia number and distribution of facet lens diameters in drones, queens and workers of five species (Apis andreniformis, A. florea, A. dorsata, A. mellifera, A. cerana). In these species, male and female eyes show a consistent sex-specific organization with respect to eye size and regional specialization of facet diameters. Drones possess distinctly enlarged eyes with large dorsal facets. Aside from these general patterns, we found signs of unique adaptations in eyes of A. florea and A. dorsata drones. In both species, drone eyes are disproportionately enlarged. In A. dorsata the increased eye size results from enlarged facets, a likely adaptation to crepuscular mating flights. In contrast, the relative enlargement of A. florea drone eyes results from an increase in ommatidia number, suggesting strong selection for high spatial resolution. Comparison of eye morphology and published mating flight times indicates a correlation between overall light sensitivity and species-specific mating flight times. The correlation suggests an important role of ambient light intensities in the regulation of species-specific mating flight times and the evolution of the visual system. Our study further deepens insights into visual adaptations within the genus Apis and opens up future perspectives for research to better understand the timing mechanisms and sensory physiology of mating related signals.",Sex and Caste-Specific Variation in Compound Eye Morphology of Five Honeybee Species
10.1371/journal.pone.0085261,2014-01-17T00:00:00Z,"Sex-related differences in susceptibility to pathogens are a common phenomenon in animals. In the eusocial Hymenoptera the two female castes, workers and queens, are diploid and males are haploid. The haploid susceptibility hypothesis predicts that haploid males are more susceptible to pathogen infections compared to females. Here we test this hypothesis using adult male (drone) and female (worker) honey bees (Apis mellifera), inoculated with the gut endoparasite Nosema ceranae and/or black queen cell virus (BQCV). These pathogens were chosen due to previously reported synergistic interactions between Nosema apis and BQCV. Our data do not support synergistic interactions between N. ceranae and BQCV and also suggest that BQCV has limited effect on both drone and worker health, regardless of the infection level. However, the data clearly show that, despite lower levels of N. ceranae spores in drones than in workers, Nosema-infected drones had both a higher mortality and a lower body mass than non-infected drones, across all treatment groups, while the mortality and body mass of worker bees were largely unaffected by N. ceranae infection, suggesting that drones are more susceptible to this pathogen than workers. In conclusion, the data reveal considerable sex-specific differences in pathogen susceptibility in honey bees and highlight the importance of ultimate measures for determining susceptibility, such as mortality and body quality, rather than mere infection levels.",Sex-Specific Differences in Pathogen Susceptibility in Honey Bees (Apis mellifera)
10.1371/journal.pone.0134248,2015-07-31T00:00:00Z,"More than 100 years ago, Karl von Frisch showed that honeybee workers learn and discriminate colors. Since then, many studies confirmed the color learning capabilities of females from various hymenopteran species. Yet, little is known about visual learning and memory in males despite the fact that in most bee species males must take care of their own needs and must find rewarding flowers to obtain food. Here we used the proboscis extension response (PER) paradigm to study the color learning capacities of workers and drones of the bumblebee, Bombus terrestris. Light stimuli were paired with sucrose reward delivered to the insects’ antennae and inducing a reflexive extension of the proboscis. We evaluated color learning (i.e. conditioned PER to color stimuli) in absolute and differential conditioning protocols and mid-term memory retention was measured two hours after conditioning. Different monochromatic light stimuli in combination with neutral density filters were used to ensure that the bumblebees could only use chromatic and not achromatic (e.g. brightness) information. Furthermore, we tested if bees were able to transfer the learned information from the PER conditioning to a novel discrimination task in a Y-maze. Both workers and drones were capable of learning and discriminating between monochromatic light stimuli and retrieved the learned stimulus after two hours. Drones performed as well as workers during conditioning and in the memory test, but failed in the transfer test in contrast to workers. Our data clearly show that bumblebees can learn to associate a color stimulus with a sugar reward in PER conditioning and that both workers and drones reach similar acquisition and mid-term retention performances. Additionally, we provide evidence that only workers transfer the learned information from a Pavlovian to an operant situation.","Dumb and Lazy? A Comparison of Color Learning and Memory Retrieval in Drones and Workers of the Buff-Tailed Bumblebee, Bombus terrestris, by Means of PER Conditioning"
10.1371/journal.pone.0066415,2013-06-17T00:00:00Z,"The development of all honey bee castes proceeds through three different life stages all of which encounter microbial infections to a various extent. We have examined the immune strength of honey bees across all developmental stages with emphasis on the temporal expression of cellular and humoral immune responses upon artificial challenge with viable Escherichia coli bacteria. We employed a broad array of methods to investigate defence strategies of infected individuals: (a) fate of bacteria in the haemocoel; (b) nodule formation and (c) induction of antimicrobial peptides (AMPs). Newly emerged adult worker bees and drones were able to activate efficiently all examined immune reactions. The number of viable bacteria circulating in the haemocoel of infected bees declined rapidly by more than two orders of magnitude within the first 4–6 h post-injection (p.i.), coinciding with the occurrence of melanised nodules. Antimicrobial activity, on the other hand, became detectable only after the initial bacterial clearance. These two temporal patterns of defence reactions very likely represent the constitutive cellular and the induced humoral immune response. A unique feature of honey bees is that a fraction of worker bees survives the winter season in a cluster mostly engaged in thermoregulation. We show here that the overall immune strength of winter bees matches that of young summer bees although nodulation reactions are not initiated at all. As expected, high doses of injected viable E.coli bacteria caused no mortality in larvae or adults of each age. However, drone and worker pupae succumbed to challenge with E.coli even at low doses, accompanied by a premature darkening of the pupal body. In contrast to larvae and adults, we observed no fast clearance of viable bacteria and no induction of AMPs but a rapid proliferation of E.coli bacteria in the haemocoel of bee pupae ultimately leading to their death.",Antibacterial Immune Competence of Honey Bees (Apis mellifera) Is Adapted to Different Life Stages and Environmental Risks
10.1371/journal.pone.0142985,2015-12-21T00:00:00Z,"A honey bee queen mates on wing with an average of 12 males and stores their sperm to produce progeny of mixed paternity. The degree of a queen’s polyandry is positively associated with measures of her colony’s fitness, and observed distributions of mating number are evolutionary optima balancing risks of mating flights against benefits to the colony. Effective mating numbers as high as 40 have been documented, begging the question of the upper bounds of this behavior that can be expected to confer colony benefit. In this study we used instrumental insemination to create three classes of queens with exaggerated range of polyandry– 15, 30, or 60 drones. Colonies headed by queens inseminated with 30 or 60 drones produced more brood per bee and had a lower proportion of samples positive for Varroa destructor mites than colonies whose queens were inseminated with 15 drones, suggesting benefits of polyandry at rates higher than those normally obtaining in nature. Our results are consistent with two hypotheses that posit conditions that reward such high expressions of polyandry: (1) a queen may mate with many males in order to promote beneficial non-additive genetic interactions among subfamilies, and (2) a queen may mate with many males in order to capture a large number of rare alleles that regulate resistance to pathogens and parasites in a breeding population. Our results are unique for identifying the highest levels of polyandry yet detected that confer colony-level benefit and for showing a benefit of polyandry in particular toward the parasitic mite V. destructor.",Honey Bee Colonies Headed by Hyperpolyandrous Queens Have Improved Brood Rearing Efficiency and Lower Infestation Rates of Parasitic Varroa Mites
10.1371/journal.pone.0118734,2015-03-16T00:00:00Z,"Across their introduced range in North America, populations of feral honey bee (Apis mellifera L.) colonies have supposedly declined in recent decades as a result of exotic parasites, most notably the ectoparasitic mite Varroa destructor. Nonetheless, recent studies have documented several wild populations of colonies that have persisted. The extreme polyandry of honey bee queens—and the increased intracolony genetic diversity it confers—has been attributed, in part, to improved disease resistance and may be a factor in the survival of these populations of feral colonies. We estimated the mating frequencies of queens in feral colonies in the Arnot Forest in New York State to determine if the level of polyandry of these queens is especially high and so might contribute to their survival success. We genotyped the worker offspring from 10 feral colonies in the Arnot Forest of upstate New York, as well as those from 20 managed colonies closest to this forest. We found no significant differences in mean mating frequency between the feral and managed queens, suggesting that queens in the remote, low-density population of colonies in the Arnot Forest are neither mate-limited nor adapted to mate at an especially high frequency. These findings support the hypothesis that the hyperpolyandry of honey bees has been shaped on an evolutionary timescale rather than on an ecological one.",Mating Frequencies of Honey Bee Queens (Apis mellifera L.) in a Population of Feral Colonies in the Northeastern United States
10.1371/journal.pone.0151564,2016-05-04T00:00:00Z,"This manuscript describes the development of an android-based smartphone application for capturing aerial photographs and spatial metadata automatically, for use in grassroots mapping applications. The aim of the project was to exploit the plethora of on-board sensors within modern smartphones (accelerometer, GPS, compass, camera) to generate ready-to-use spatial data from lightweight aerial platforms such as drones or kites. A visual coding ‘scheme blocks’ framework was used to build the application (‘app’), so that users could customise their own data capture tools in the field. The paper reports on the coding framework, then shows the results of test flights from kites and lightweight drones and finally shows how open-source geospatial toolkits were used to generate geographical information system (GIS)-ready GeoTIFF images from the metadata stored by the app. Two Android smartphones were used in testing–a high specification OnePlus One handset and a lower cost Acer Liquid Z3 handset, to test the operational limits of the app on phones with different sensor sets. We demonstrate that best results were obtained when the phone was attached to a stable single line kite or to a gliding drone. Results show that engine or motor vibrations from powered aircraft required dampening to ensure capture of high quality images. We demonstrate how the products generated from the open-source processing workflow are easily used in GIS. The app can be downloaded freely from the Google store by searching for ‘UAV toolkit’ (UAV toolkit 2016), and used wherever an Android smartphone and aerial platform are available to deliver rapid spatial data (e.g. in supporting decision-making in humanitarian disaster-relief zones, in teaching or for grassroots remote sensing and democratic mapping).","A Grassroots Remote Sensing Toolkit Using Live Coding, Smartphones, Kites and Lightweight Drones"
10.1371/journal.pone.0147220,2016-02-10T00:00:00Z,"Queen health is closely linked to colony performance in honey bees as a single queen is normally responsible for all egg laying and brood production within the colony. In the U. S. in recent years, queens have been failing at a high rate; with 50% or greater of queens replaced in colonies within 6 months when historically a queen might live one to two years. This high rate of queen failure coincides with the high mortality rates of colonies in the US, some years with >50% of colonies dying. In the current study, surveys of sperm viability in US queens were made to determine if sperm viability plays a role in queen or colony failure. Wide variation was observed in sperm viability from four sets of queens removed from colonies that beekeepers rated as in good health (n = 12; average viability = 92%), were replacing as part of normal management (n = 28; 57%), or where rated as failing (n = 18 and 19; 54% and 55%). Two additional paired set of queens showed a statistically significant difference in viability between colonies rated by the beekeeper as failing or in good health from the same apiaries. Queens removed from colonies rated in good health averaged high viability (ca. 85%) while those rated as failing or in poor health had significantly lower viability (ca. 50%). Thus low sperm viability was indicative of, or linked to, colony performance. To explore the source of low sperm viability, six commercial queen breeders were surveyed and wide variation in viability (range 60–90%) was documented between breeders. This variability could originate from the drones the queens mate with or temperature extremes that queens are exposed to during shipment. The role of shipping temperature as a possible explanation for low sperm viability was explored. We documented that during shipment queens are exposed to temperature spikes (<8 and > 40°C) and these spikes can kill 50% or more of the sperm stored in queen spermathecae in live queens. Clearly low sperm viability is linked to colony performance and laboratory and field data provide evidence that temperature extremes are a potential causative factor.",Colony Failure Linked to Low Sperm Viability in Honey Bee (Apis mellifera) Queens and an Exploration of Potential Causative Factors
